achunjia,阿春家
niyazenme,你丫怎么
niyazhe,你丫这
niyazhen,你丫真
niyaziji,你丫自己
niyaobuzhaoji,你要不着急
niyaofeng,你要疯
niyaofengba,你要疯吧
niyaohao,你摇号
niyaolaibeijing,你要来北京
niyaomeishier,你要没事儿
niyaoshizaibeijing,你要是在北京
niyaozaibeijing,你要在北京
niyaozhaoji,你要着急
niyaozhaowolai,你要找我来
niyegouzaode,你也够早的
niyelaibeijing,你也来北京
niyemeizhe,你也没辙
niyemen,你爷们
niyemener,你爷们儿
niyemenne,你爷们呢
niyezaibeijing,你也在北京
niyezhiyu,你也至于
niyoubuzaibeijing,你又不在北京
niyoujinma,你有劲吗
niyoujinme,你有劲么
niyoumeile,你又美了
niyouniubile,你又牛逼了
niyouniule,你又牛了
niyoupu,你有谱
niyouweixinme,你有微信么
niyouyemen,你有爷们
niyouzhe,你有辙
nizaibeijing,你在北京
nizaibeijinga,你在北京啊
nizaibeijingma,你在北京吗
nizaibeijingme,你在北京么
nizaibeijingna,你在北京那
nizaibeijingnali,你在北京哪里
nizaibeijingne,你在北京呢
nizaichangping,你在昌平
nizaichaoyang,你在朝阳
nizaidaxing,你在大兴
nizaiditie,你在地铁
nizaidongcheng,你在东城
nizaifangshan,你在房山
nizaifengtai,你在丰台
nizaigongsine,你在公司呢
nizaiguomao,你在国贸
nizaihaidian,你在海淀
nizaihuairou,你在怀柔
nizaijiceng,你在几层
nizaijianeme,你在家呢么
nizailiangxiang,你在良乡
nizaimiyun,你在密云
nizainazhan,你在哪站
nizainema,你在呢吗
nizaipinggu,你在平谷
nizaishijingshan,你在石景山
nizaishunyi,你在顺义
nizaitongzhou,你在通州
nizaiwangjing,你在望京
nizaixidan,你在西单
nizaiyanjiao,你在燕郊
nizaizhongguancun,你在中关村
nizenmezhe,你怎么着
nizhaojime,你着急么
nizhaowo,你招我
nizhaoyang,你朝阳
nizhedianer,你这点儿
nizheganmane,你这干嘛呢
nizheshier,你这事儿
nizheyanger,你这样儿
nizhezhouri,你这周日
nizhencheng,你真成
nizhenfeijin,你真费劲
nizhenhuiliaotian,你真会聊天
nizhenmeijin,你真没劲
nizhenpin,你真贫
nizhenqian,你真欠
nizhouliuri,你周六日
nizhunaera,你住哪儿啊
nizhunaya,你住哪呀
nizuoditie,你坐地铁
nizuoer,你昨儿
nizuomo,你琢磨
nianbeijing,年北京
nianbuchuliu,蔫不出溜
nianchanquan,年产权
niandaoguo,念叨过
nianer,蔫儿
nianjiaba,年假吧
nianjiale,年假了
nianjiama,年假吗
nianjiane,年假呢
nianjiao,年交
niantan,念坛
niantangongyuan,念坛公园
niaochao,鸟巢
niaochaode,鸟巢的
niaochaofujin,鸟巢附近
niaochaoshuilifang,鸟巢水立方
niaohua,尿哗
niegezhuang,聂各庄
ninba,您把
ninba,您把
ninbawo,您把我
ninban,您班
ninbang,您帮
ninbangmang,您帮忙
ninbangwo,您帮我
ninbangwokan,您帮我看
ninbangwomen,您帮我们
ninbangzhe,您帮着
ninbiwo,您比我
ninbie,您别
ninbiedanxin,您别担心
ninbieji,您别急
ninbiekeqi,您别客气
ninbieshengqi,您别生气
ninbiewangle,您别忘了
ninbiezhaoji,您别着急
ninbumang,您不忙
ninbushi,您不是
ninbushishuo,您不是说
ninbushuo,您不说
nincanjia,您参加
ninchashou,您查收
ninchashouxia,您查收下
ninchashouyixia,您查收一下
ninchayixia,您查一下
ninchiba,您吃吧
ninchifanlema,您吃饭了吗
ninchilema,您吃了吗
ninchuchai,您出差
ninchulai,您出来
ninchumen,您出门
nincong,您从
ninda,您打
nindadianhua,您打电话
nindasuan,您打算
nindai,您带
nindaizhe,您带着
nindanwei,您单位
nindangdi,您当地
nindaohao,您倒好
nindaojia,您到家
nindaolema,您到了吗
nindaonale,您到哪了
nindeyoujian,您的邮件
nindeyouxiang,您的邮箱
nindei,您得
nindenghui,您等会
nindengwo,您等我
nindianhua,您电话
nindianhuaduoshao,您电话多少
nindou,您都
ninduo,您多
ninduofeixin,您多费心
ninduozhuyi,您多注意
ninfaba,您发吧
ninfade,您发的
ninfageiwo,您发给我
ninfangbian,您方便
ninfangbiandehua,您方便的话
ninfangbianma,您方便吗
ninfangbianshi,您方便时
ninfangxinba,您放心吧
ninfeixin,您费心
ninfeixinle,您费心了
ninfenfu,您吩咐
ninganjin,您赶紧
ninganma,您干嘛
ninganmane,您干嘛呢
ningang,您刚
ningaosu,您告诉
ningaosuwo,您告诉我
ningei,您给
ningeikan,您给看
ningeita,您给他
ningeiwo,您给我
ningeiwodadianhua,您给我打电话
ningeiwode,您给我的
ningeiwoge,您给我个
ningeiwomen,您给我们
ningeiwoyige,您给我一个
ningen,您跟
ningenta,您跟他
ningenwo,您跟我
ningenwoshuo,您跟我说
ningongsi,您公司
ninguolai,您过来
ninguolaiba,您过来吧
ninhaidei,您还得
ninhaijide,您还记得
ninhaikeyi,您还可以
ninhaoxiuxi,您好休息
ninhe,您和
ninheta,您和他
ninhewo,您和我
ninhui,您回
ninhuijia,您回家
ninhuilai,您回来
ninhuilaile,您回来了
ninhuilailema,您回来了吗
ninhuiqu,您回去
ninhuitou,您回头
ninjide,您记得
ninjidian,您几点
ninjia,您家
ninjiade,您家的
ninjiawo,您加我
ninjiaowo,您叫我
ninjieshou,您接收
ninjieshouyixia,您接收一下
ninjieyixia,您接一下
ninjin,您今
ninjinkuai,您尽快
ninjintian,您今天
ninjiu,您就
ninjiubie,您就别
ninjiufangxinba,您就放心吧
ninjiugeiwo,您就给我
ninjiuneng,您就能
ninjiushuo,您就说
ninjiuzai,您就在
ninkan,您看
ninkanba,您看吧
ninkandaolema,您看到了吗
ninkanjian,您看见
ninkan,您看
ninkankeyima,您看可以吗
ninkankeyime,您看可以么
ninkanlema,您看了吗
ninkanxingma,您看行吗
ninkanxingme,您看行么
ninkanyixia,您看一下
ninkanyixiaba,您看一下吧
ninkanyiyan,您看一眼
ninkanzhege,您看这个
ninkanzheyang,您看这样
ninkebie,您可别
ninkeqi,您客气
ninkeqila,您客气啦
ninkeqile,您客气了
ninkeyikan,您可以看
ninkeyikanxia,您可以看下
ninkending,您肯定
ninla,您啦
ninlaiba,您来吧
ninlaibeijing,您来北京
ninlao,您老
ninlaoxiansheng,您老先生
ninlaoyixia,您老一下
ninlianxi,您联系
ninlianxiwo,您联系我
ninliuge,您留个
ninmane,您嘛呢
ninmanyi,您满意
ninmangma,您忙吗
ninmangde,您忙的
ninmangzhe,您忙着
ninmeijie,您没接
ninmeishi,您没事
ninmeishiba,您没事吧
ninmeishoudao,您没收到
ninmeizai,您没在
ninna,您那
ninnabian,您那边
ninnabiande,您那边的
ninnaer,您那儿
ninnage,您那个
ninnatian,您那天
ninnayou,您那有
ninnengba,您能把
ninnengbangwo,您能帮我
ninnenggaosuwo,您能告诉我
ninnenggeiwo,您能给我
ninpaiwan,您拍完
ninqianwan,您千万
ninquba,您去吧
ninqule,您去了
ninquma,您去吗
ninquna,您去哪
ninrangta,您让他
ninrangwo,您让我
ninrenshi,您认识
ninshashihou,您啥时候
ninshangban,您上班
ninshangwu,您上午
ninshenme,您什么
ninshenmeshihou,您什么时候
ninshenmeshijian,您什么时间
ninshenti,您身体
ninshijian,您时间
ninshi,您试
ninshixiang,您是想
ninshiyong,您使用
ninshoudaole,您收到了
ninshoudaolema,您收到了吗
ninshouji,您手机
ninshouli,您手里
ninshouyixia,您收一下
ninshuilema,您睡了吗
ninshuoba,您说吧
ninshuoshenme,您说什么
ninshuowo,您说我
ninshuoxia,您说下
ninshuoyixia,您说一下
ninsuishi,您随时
nintaikeqile,您太客气了
nintaimang,您太忙
nintiqian,您提前
nintian,您天
nintongshi,您同事
nintongzhi,您通知
ninwanshang,您晚上
ninwende,您问的
ninwen,您问
ninwenwo,您问我
ninwenyixia,您问一下
ninxiaban,您下班
ninxiawu,您下午
ninxiazhou,您下周
ninxian,您先
ninxianba,您先把
ninxiankan,您先看
ninxiankan,您先看
ninxiankanyixia,您先看一下
ninxianmangzhe,您先忙着
ninxiang,您想
ninxiang,您想
ninxiangzhe,您想着
ninxie,您写
ninxiede,您写的
ninyaomai,您要买
ninyaoshi,您要是
ninyaoshuo,您要说
ninye,您也
ninyebie,您也别
ninyedei,您也得
ninyezaodian,您也早点
ninyezaodianxiuxi,您也早点休息
ninyihou,您以后
ninyihui,您一会
ninyixia,您一下
ninyongde,您用的
ninyou,您有
ninyouma,您有吗
ninyousha,您有啥
ninyoushenme,您有什么
ninyoushenmeshi,您有什么事
ninyoushi,您有事
ninyoushijian,您有时间
ninyoushijianma,您有时间吗
ninyouwenti,您有问题
ninyouxiang,您邮箱
ninyouxiangle,您邮箱了
ninyuanlai,您原来
ninyuanyi,您愿意
ninza,您咋
ninzai,您在
ninzaibeijing,您在北京
ninzaigei,您再给
ninzaigeiwo,您再给我
ninzaijia,您在家
ninzaikan,您在看
ninzailai,您再来
ninzaima,您在吗
ninzaime,您在么
ninzaina,您在哪
ninzainaer,您在哪儿
ninzainali,您在哪里
ninzainane,您在哪呢
ninzaodian,您早点
ninzaodianxiuxiba,您早点休息吧
ninzenmechenghu,您怎么称呼
ninzenmeyang,您怎么样
ninzhaodao,您找到
ninzhaoji,您着急
ninzhaowo,您找我
ninzhe,您这
ninzheer,您这儿
ninzhege,您这个
ninzhejitian,您这几天
ninzheliangtian,您这两天
ninzheyou,您这有
ninzheizhou,您这周
ninzhidao,您知道
ninzhidaoma,您知道吗
ninzhidaome,您知道么
ninzhide,您指的
ninzhineng,您只能
ninzhongwu,您中午
ninzhouyi,您周一
ninzhu,您住
ninzhuyi,您注意
ninzixun,您咨询
ninzoule,您走了
ninzuihao,您最好
ninzuijin,您最近
ninzuode,您做的
ninggao,宁高
ningxinyuan,宁馨苑
niubaotun,牛堡屯
niubidale,牛逼大了
niubima,牛逼吗
niubime,牛逼么
niubisile,牛逼死了
niubizhene,牛逼着呢
niudale,牛大了
niudawan,牛大碗
niuduyan,牛肚宴
niufang,牛坊
niujie,牛街
niukouyu,牛口峪
niulanshan,牛栏山
niulanshanyizhong,牛栏山一中
niulanshanzhen,牛栏山镇
niulebi,牛了逼
niulebi,牛了逼
niuli,牛丽
niuqian,牛前
niuroubing,牛肉饼
niushan,牛山
niushebing,牛舌饼
niushi,牛市
niutouyan,牛头宴
niuyangpei,牛羊配
niuyueke,纽约客
niuzhene,牛着呢
nongdafuzhong,农大附中
nongdalu,农大路
nongdalubeikou,农大路北口
nongdananlu,农大南路
nongdiannaone,弄电脑呢
nongfang,弄房
nongguang,农光
nongguangdongli,农光东里
nongguangli,农光里
nongjile,弄急了
nongjiyuan,农机院
nongjiafan,农家饭
nongjiayuan,农家院
nongminribaoshe,农民日报社
nongyebu,农业部
nongyejianianhua,农业嘉年华
nongyekexueyuan,农业科学院
nongyezhanlanguan,农业展览馆
nongyezhi,农业职
nongyin,农银
nongying,农影
nongyuan,农园
nongzhan,农展
nongzhanguan,农展馆
nongzhannanli,农展南里
nongzhe,弄折
nongzhi,农职
nuzhe,努着
nuanwenzhang,暖文章
nuoche,挪车
nuodika,诺帝卡
nuolante,诺兰特
nuolin,诺林
nuozhi,挪至
nvxingxue,女性学
nvzibaihuo,女子百货
oer,哦儿
ohele,哦呵了
oke,哦磕
okenle,哦啃了
olebi,哦了逼
olebi,哦了逼
osai,哦塞
oteme,哦特么
oudebao,欧德宝
oudifen,欧迪芬
ouer,欧儿
ouhese,藕荷色
ouhui,欧辉
oulujingdian,欧陆经典
oumake,欧马可
oumeihui,欧美汇
ouyangzhongshi,欧阳中石
pachangcheng,爬长城
pahuier,趴会儿
pahuo,趴活
pamashi,帕玛氏
pani,帕尼
paqieke,帕切科
pasai,趴赛
paxiangshan,爬香山
paibanfei,排版费
paibao,拍宝
paibukai,排不开
paibukaile,排不开了
paicha,排叉
paidadui,排大队
paidianer,拍点儿
paier,牌儿
paihuazi,拍花子
paihuo,派活
paihuoer,派活儿
paiji,排畸
paikelandi,派克兰帝
paimaigongsi,拍卖公司
paimiyou,拍蜜优
painaomen,拍脑门
paipianer,拍片儿
paiqi,排期
paishuijituan,排水集团
paisongzhong,派送中
pandaomiao,潘道庙
pandianhao,盼点好
panduanyixia,判断一下
pangu,盘古
pangudaguan,盘古大观
panguqixing,盘古七星
panhe,盘盒
panjiamiao,潘家庙
panjiayuan,潘家园
panjiayuanle,潘家园了
panjiayuanqiao,潘家园桥
panjuanzi,判卷子
panwanle,判完了
panwodianhao,盼我点好
panzuoye,判作业
pangbao,胖宝
pangbianer,旁边儿
panggezhuang,庞各庄
panggezhuangzhen,庞各庄镇
pangniuer,胖妞儿
pangzhene,胖着呢
paobing,泡饼
paochang,炮厂
paochu,刨除
paofale,泡发了
paoju,炮局
paoniuer,泡妞儿
paoqu,刨去
paoshuju,跑数据
paotong,跑通
paoxia,跑瞎
peidianshi,配电室
peigemen,陪哥们
peiguinv,陪闺女
peihenin,配合您
peijiemen,陪姐们
peilou,配楼
peinidaihui,陪你待会
peisi,配思
peisongzhong,配送中
peiwodaihui,陪我待会
peixinjie,培新街
peizhiguanli,配置管理
peizhiwenjian,配置文件
pengcier,碰瓷儿
pengrundasha,鹏润大厦
pengrunjiayuan,鹏润家园
pengshangguo,碰上过
pengyuan,鹏元
picai,辟才
picaihutong,辟才胡同
picun,皮村
pidai,批贷
pidaihan,批贷函
pidun,屁蹲
pifukang,皮肤康
pigezhuang,皮各庄
pijiner,皮筋儿
pijiuhuayuan,啤酒花园
pike,皮科
pilian,屁帘
piliu,屁溜
pipatui,琵琶腿
piweibuhe,脾胃不和
piwu,皮五
piwuchuanqi,皮五传奇
piandan,片单
pianertang,片儿汤
pianfang,片方
piantang,片汤
piantanghua,片汤话
pianyichuzu,便宜出租
pianyifang,便宜房
pianzi,篇子
piaocheng,朴成
piaodai,票代
piaolian,票联
piaoliang,飘亮
piaomeng,票盟
piaowutong,票务通
piaoyuan,票员
pinbi,贫逼
pinbu,贫不
pindan,贫蛋
pindaoye,频道页
pinde,贫的
pinhui,贫会
pinjin,品今
pinle,贫了
pinliangju,贫两句
pinliu,品六
pinne,贫呢
pinpaici,品牌词
pinpaituiguang,品牌推广
pin,贫
pinqi,品奇
pinsile,贫死了
pinsini,贫死你
pintui,品推
pinxianghao,品相好
pinxiecuowu,拼写错误
pinyuan,品园
pinzhi,品知
pinzhirenda,品知人大
pinzhituan,品质团
pinzhong,品众
pinzhu,拼住
pinzhuan,品专
pinganbeijing,平安北京
pingandajie,平安大街
pinganli,平安里
pingdan,凭单
pingfang,平坊
pingfangcun,平房村
pingfangqiao,平房桥
pingfangxiang,平房乡
pinggezhuang,平各庄
pinggu,平谷
pinggude,平谷的
pingguhua,平谷话
pinggule,平谷了
pinggune,平谷呢
pingguqu,平谷区
pingguren,平谷人
pingguzhen,平谷镇
pingguzhongxue,平谷中学
pingguopai,苹果派
pingguoshequ,苹果社区
pingguoyuan,苹果园
pingguoyuanditie,苹果园地铁
pingguoyuanle,苹果园了
pingguoyuanzhongxue,苹果园中学
pingleyuan,平乐园
pingli,平里
pinglunshu,评论数
pingmishu,平米数
pingmianmeiti,平面媒体
pingqu,平区
pingshenzhuanjia,评审专家
pingshiban,平时班
pingshuba,评书吧
pingtama,凭他妈
pingtang,平趟
pingting,坪亭
pingwa,平娃
pingwasanbao,平娃三宝
pingxifu,平西府
pingxiwangfu,平西王府
pingxintang,平心堂
pingyishu,评议书
pingyouke,评优课
pingyu,平鱼
pingyuanli,平原里
pingzhong,苹中
pingzhuang,平装
pobeijing,破北京
pobishi,破逼事
podier,破地儿
poditie,破地铁
pofengling,坡峰岭
poshangcun,坡上村
posuiling,破碎岭
potianer,破天儿
puanli,蒲安里
pubuliu,瀑布流
puer,谱儿
pufanglu,蒲芳路
puhua,普华
puhuayongdao,普华永道
puhuangyu,蒲黄榆
puhuangyulu,蒲黄榆路
puhuinanli,普惠南里
pulana,普拉纳
pumanshan,扑满山
purenhong,普仁鸿
purenyiyuan,普仁医院
putaozui,葡萄嘴
putigen,菩提根
putonghao,普通号
puxiangzhitie,浦项制铁
qibeicha,沏杯茶
qibeilu,七北路
qicaicheng,器材城
qicaiyunnan,七彩云南
qicha,沏茶
qichadaoshui,沏茶倒水
qichebowuguan,汽车博物馆
qichedianying,汽车电影
qichedianyingyuan,汽车电影院
qichepodao,汽车坡道
qicheyaohao,汽车摇号
qicheyingyuan,汽车影院
qidaihuifu,期待回复
qidainindehuifu,期待您的回复
qidegouzao,起的够早
qidehaitingzao,起的还挺早
qidian,气电
qihaoyuan,七号院
qihelou,骑河楼
qihong,齐红
qihongjiayangzi,起哄架秧子
qihoubianhua,气候变化
qihuan,七环
qihuo,齐活
qihuogongsi,期货公司
qiji,起急
qijia,祁家
qijiafen,祁家坟
qijiahuozi,祁家豁子
qijiayuan,齐家园
qijiankaixuan,旗舰凯旋
qijie,七街
qijiuba,七九八
qikela,七克拉
qikeshu,七棵树
qilebu,起了不
qileme,起了么
qilidian,七里店
qiliqu,七里渠
qilizhuang,七里庄
qilinshe,麒麟社
qimeine,起没呢
qimei,起没
qimengle,起猛了
qimingxingchen,启明星辰
qimolianxi,期末练习
qimolunwen,期末论文
qineba,起呢吧
qiniandajie,祈年大街
qiniandian,祈年殿
qinvshi,齐女士
qirenyou,气人有
qirongjiao,气溶胶
qisanyi,七三一
qishengjiayuan,旗胜家园
qishenglu,七圣路
qishui,沏水
qishuipiao,契税票
qishuo,齐硕
qisijia,起司家
qisishui,气死谁
qitoulian,齐头帘
qiwanleba,起晚了吧
qixiancun,七贤村
qixingyuan,七星园
qiyexinyong,企业信用
qiyezhai,企业债
qiyibainian,期颐百年
qiyidazao,起一大早
qiyunju,汽运局
qizhai,七斋
qiashang,洽商
qianbajia,前八家
qianbianer,前边儿
qiandeshier,钱的事儿
qianfan,欠返
qianfengdang,前风挡
qiangangtie,前杠铁
qianhejiayuan,千鹤家园
qianjiadian,千家店
qianjian,前尖
qianjinhuayuan,前进花园
qianlianghutong,钱粮胡同
qianlingshan,千灵山
qianlong,千龙
qianlongwang,千龙网
qianmen,前门
qianmendajie,前门大街
qianmendian,前门店
qianmenle,前门了
qianmenlouzi,前门楼子
qianmenxi,前门西
qianmenzhan,前门站
qianminger,签名儿
qianmingzhang,签名章
qianniwa,前泥洼
qianpin,千品
qianpinwang,千品网
qiansanfang,签三方
qianshajian,前沙涧
qianshaode,钱烧的
qianshude,签署的
qiantaine,前台呢
qiantuanwang,千团网
qiantunlu,前屯路
qianwanbiezhaoji,千万别着急
qianwanzile,签完字了
qianxidajiudian,千禧大酒店
qianxihe,千喜鹤
qianxiang,千橡
qianxinzhuang,前辛庄
qianyemen,前爷们
qianyizhener,前一阵儿
qianzhao,欠招
qianzhengbu,签证部
qianzhengchu,签证处
qianzhengfei,签证费
qianzhengye,签证页
qianzhengzhongxin,签证中心
qianzhou,前肘
qianzitong,千子桐
qiangcha,墙插
qiangchaoyuanbaicai,炝炒圆白菜
qiangdianer,强点儿
qianggu,腔骨
qiangyou,强佑
qiaobamei,俏巴妹
qiaobanimeide,瞧把你美得
qiaobing,瞧病
qiaobo,乔波
qiaodi,乔迪
qiaodingyixia,敲定一下
qiaofu,侨福
qiaofufangcaodi,侨福芳草地
qiaogei,瞧给
qiaogeini,瞧给你
qiaokelinai,巧克力奶
qiaoliangchang,桥梁厂
qiaoluobian,敲锣边
qiaonimeide,瞧你美得
qiaoninei,瞧你内
qiaoniya,瞧你丫
qiaoninshuode,瞧您说的
qiaorenjia,瞧人家
qiaorenjia,瞧人家
qiaosanjia,敲三家
qiaowaipo,乔外婆
qiaoxiangyuan,桥香园
qiaozhuang,乔庄
qiaozizhen,桥梓镇
qiede,且得
qiedeng,且等
qieding,茄丁
qiedingmian,茄丁面
qiezhene,且着呢
qiezimian,茄子面
qincheng,秦城
qinhe,勤和
qinkanyixia,亲看一下
qinmingle,亲命了
qinqingsheng,亲情省
qinshanshui,沁山水
qinsi,勤思
qintangfu,秦唐府
qingboyuan,晴波园
qingbuchong,请补充
qingcanjian,请参见
qingchashouyoujian,请查收邮件
qingchaoxiaren,清炒虾仁
qingchunguan,青春馆
qingfanyi,请翻译
qingfengbaozi,庆丰包子
qingfengbaozipu,庆丰包子铺
qinggongfuliao,轻工辅料
qinghe,清河
qinghedalou,清河大楼
qinghedian,清河店
qinghele,清河了
qinghenanzhen,清河南镇
qingheqiao,清河桥
qinghexiaoying,清河小营
qingheying,清河营
qingheyuan,清和园
qinghuachi,清华池
qinghuadaxue,清华大学
qinghuadaxuechubanshe,清华大学出版社
qinghuade,清华的
qinghuadonglu,清华东路
qinghuadongmen,清华东门
qinghuafu,清华附
qinghuafuxiao,清华附小
qinghuafuzhong,清华附中
qinghuakejiyuan,清华科技园
qinghuameiyuan,清华美院
qinghuanan,清华男
qinghuatongfang,清华同方
qinghuaximen,清华西门
qinghuayuan,清华园
qinghuaziguang,清华紫光
qinghuancun,清缓存
qingjiliao,轻集料
qingjia,请价
qingjieri,清洁日
qingjingyuan,清景园
qingke,清科
qinglandasha,青蓝大厦
qinglianggu,清凉谷
qingliucun,请留存
qinglonghu,青龙湖
qinglonghuzhen,青龙湖镇
qinglongqiao,青龙桥
qinglongxia,青龙峡
qingnianbao,青年报
qingniancanting,青年餐厅
qingniangong,青年宫
qingniangongyu,青年公寓
qingniangou,青年沟
qingnianhu,青年湖
qingnianhui,青年汇
qingnianzhengzhi,青年政治
qingnianzhengzhixueyuan,青年政治学院
qingnin,请您
qingninba,请您把
qingninchakan,请您查看
qingninchashou,请您查收
qingninchayue,请您查阅
qingninchifan,请您吃饭
qingninfangxin,请您放心
qingninguomu,请您过目
qingninjinkuai,请您尽快
qingninshenyue,请您审阅
qingninyu,请您于
qingninzai,请您在
qingqiaoduoguan,轻巧夺冠
qingshangyuan,清上园
qingsheng,轻省
qingshouyoujian,请收邮件
qingshuiyuan,清水苑
qingsuishi,请随时
qingsuishilianxi,请随时联系
qingta,青塔
qingtaweiyuan,青塔蔚园
qingtaxilu,青塔西路
qingtaxiaoqu,青塔小区
qingtiqiang,轻体墙
qingtizhuan,轻体砖
qingtiaozheng,请调整
qingxiangge,清香阁
qingxiangjian,请详见
qingxinyuan,清欣园
qingxiucheng,青秀城
qingxiuyuan,清秀园
qingxueyuan,晴雪园
qingyandiwan,清咽滴丸
qingyiyuan,清逸园
qingyouyuan,清友园
qingyuandongli,清缘东里
qingyuanli,清缘里
qingyuanlu,清源路
qingyuanxili,清源西里
qingyundian,青云店
qingyundianzhen,青云店镇
qingzhen,清真
qingzhiyuan,清芷园
qingzhuanjiao,请转交
qiongguang,穷逛
qiongheng,穷横
qiongyouwang,穷游网
qiubiao,秋膘
qiudeba,邱德拔
qiujiduan,邱季端
qiulaifang,求来访
qiulixiang,秋栗香
qiuluyuan,秋露园
qiumadou,裘马都
qiushilou,求是楼
qiuyiwenyao,求医问药
qubadachu,去八大处
qubadaling,去八达岭
qubashang,去坝上
qubairong,去百荣
qubeida,去北大
qubeidaihe,去北戴河
qubeihang,去北航
qubeijingzhan,去北京站
qubeiyuan,去北苑
qubiededi,去别的地
qubiezhen,曲别针
qucaizhai,去采摘
quchangcheng,去长城
quchangping,去昌平
quchong,去重
quchongwenmen,去崇文门
qudahongmen,去大红门
qudaxing,去大兴
qudayuecheng,去大悦城
quditie,去地铁
qudongdan,去东单
qudongwuyuan,去动物园
qudongwuyuanle,去动物园了
qudongzhimen,去东直门
qufangshan,去房山
qufangzhuang,去方庄
qufengtai,去丰台
qugeinin,去给您
qugongjijin,去公积金
qugongti,去工体
qugugong,去故宫
qugulou,去鼓楼
quguijie,去簋街
quguomao,去国贸
quguotai,去国泰
quguotu,去国图
quhaidian,去海淀
quhaiyangguan,去海洋馆
quhebei,去河北
quhouhai,去后海
quhuzhao,取护照
quhuatang,去华堂
quhuairou,去怀柔
quhuanlegu,去欢乐谷
quhuangcun,去黄村
quhuidan,取回单
quhuilongguan,去回龙观
quhuoyao,去火药
qujianwei,区建委
qujiaoqu,去郊区
qujiaowei,区教委
qujieguo,取结果
qujienin,去接您
qujinsong,去劲松
qujinyuan,去金源
qujuan,区卷
qukanhuaju,去看话剧
qukannin,去看您
qukufang,去库房
quliangxiang,去良乡
quliuliqiao,去六里桥
quliuwan,去遛弯
qumeilian,去美廉
qumentougou,去门头沟
qumiyun,去密云
qumiaohui,去庙会
qumuxiyuan,去木樨园
qunandaihe,去南戴河
qunanluo,去南锣
qunanluoguxiang,去南锣鼓巷
qunidayedeba,去你大爷的吧
quniaochao,去鸟巢
quninjia,去您家
quninna,去您那
quninnali,去您那里
qupanjiayuan,去潘家园
qupinggu,去平谷
quqianmen,去前门
quqinghe,去清河
quqinghua,去清华
qurenda,去人大
qusanlitun,去三里屯
qushangdi,去上地
qushebao,去社保
qushi,趋势
qushidu,去十渡
qushijingshan,去石景山
qushilihe,去十里河
qushuaye,去刷夜
qushuangjing,去双井
qushuilifang,去水立方
qushuimofang,去水魔方
qushuiwu,去税务
qushunyi,去顺义
qusihui,去四惠
qusong,取送
qutanggongsi,去趟公司
qutiananmen,去天安门
qutianjin,去天津
qutiantan,去天坛
qutiantongyuan,去天通苑
qutianyi,去天意
qutongxian,去通县
qutongzhou,去通州
qutou,渠头
quwanpai,去玩牌
quwangfujing,去王府井
quwangjing,去望京
quworen,去我人
quwudaokou,去五道口
quwukesong,去五棵松
quwumei,去物美
quxidan,去西单
quxidanba,去西单吧
quxidanle,去西单了
quxifan,去稀饭
quxizhimen,去西直门
quxiangshan,去香山
quxiedao,去蟹岛
quxiehe,去协和
quxinshijie,去新世界
quyanche,去验车
quyanjiao,去燕郊
quyanqing,去延庆
quyiheyuan,去颐和园
quyitang,取一趟
quyizhuang,去亦庄
quyonghegong,去雍和宫
quyongwang,去永旺
quyou,趣游
quyuyuantan,去玉渊潭
quyuan,曲园
quyuanbohui,去园博会
quyuanmingyuan,去圆明园
quzhao,取照
quzhaonin,去找您
quzhipiao,取支票
quzhong,取中
quzhongguancun,去中关村
quzhuozhou,去涿州
quzuoditie,去坐地铁
quanbanwan,全办完
quanbanxialai,全办下来
quanbeijing,全北京
quanbeijingshi,全北京市
quanchanyelian,全产业链
quanche,全撤
quanchejiancha,全车检查
quanfei,全费
quangao,全稿
quangong,颧弓
quanguorencai,全国人才
quanguorenda,全国人大
quanguozhengxie,全国政协
quanhe,泉河
quanjiadian,全家电
quanjincheng,权金城
quanjude,全聚德
quanliyaoqiu,权利要求
quanliucheng,全流程
quanliuliang,全流量
quanmen,圈门
quanmianshidai,全棉时代
quanminggeju,全明格局
quannanxiang,全南向
quanpin,权品
quanshi,全时
quansuzhai,全素斋
quansuanshang,全算上
quansuanxialai,全算下来
quantihui,全体会
quanwei,权味
quanxialai,全下来
quanxinzhengpin,全新正品
quanying,泉营
quelian,缺练
querenleme,确认了么
quexinshaofei,缺心少肺
quexinyanba,缺心眼吧
quexinyaner,缺心眼儿
quezou,缺揍
qunfangyuan,群芳园
qunyi,群邑
ranqijituan,燃气集团
ranqika,燃气卡
ranshaobing,燃烧冰
rangbeijing,让北京
rangkufang,让库房
rangnilaibeijing,让你来北京
rangniya,让你丫
rangniyemen,让你爷们
rangninfeixinle,让您费心了
rangde,嚷的
rangle,嚷了
rangteme,让特么
rangwogemen,让我哥们
rangwogeinin,让我给您
rangxiaoshou,让销售
rangya,让丫
raominfei,扰民费
raoyuefu,饶乐府
regongguan,热公馆
rejiliang,热计量
relijituan,热力集团
relizhan,热力站
reshangfeng,热伤风
reshangfengle,热伤风了
reshuifei,热水费
retangmian,热汤面
rezheme,热这么
rezhene,热着呢
renbaobu,人保部
renbaoju,人保局
rendade,人大的
rendadongmen,人大东门
rendafu,人大附
rendafujin,人大附近
rendafuxiao,人大附小
rendafuzhong,人大附中
rendaximen,人大西门
